waktu,jenis_ikan,suhu_c,ph,padat_tebar,hasil_klasifikasi
Pagi,Bandeng,33.5,9.1,Tidak Normal,Tidak Normal
Pagi,Bandeng,33.7,6.1,Tidak Normal,Tidak Normal
Pagi,Bandeng,31.2,9.2,Normal,Tidak Normal
Pagi,Bandeng,31.3,6.2,Normal,Tidak Normal
Pagi,Bandeng,31.6,8.9,Normal,Tidak Normal
Pagi,Bandeng,32.2,9.3,Normal,Tidak Normal
Pagi,Bandeng,32.4,9.6,Normal,Tidak Normal
Pagi,Bandeng,32.6,8.8,Normal,Tidak Normal
Pagi,Bandeng,32.7,9.0,Normal,Tidak Normal
Pagi,Bandeng,33.0,8.9,Normal,Tidak Normal
Pagi,Bandeng,33.4,9.7,Normal,Tidak Normal
Pagi,Bandeng,33.4,6.3,Normal,Tidak Normal
Pagi,Bandeng,33.5,9.4,Normal,Tidak Normal
Pagi,Bandeng,24.2,9.8,Normal,Tidak Normal
Pagi,Bandeng,24.0,8.8,Normal,Tidak Normal
Pagi,Bandeng,24.5,6.4,Normal,Tidak Normal
Pagi,Bandeng,24.5,4.5,Normal,Tidak Normal
Pagi,Bandeng,24.8,5.6,Normal,Tidak Normal
Pagi,Bandeng,25.0,10.0,Normal,Tidak Normal
Pagi,Bandeng,25.0,6.0,Normal,Tidak Normal
Pagi,Bandeng,25.3,8.9,Normal,Tidak Normal
Pagi,Bandeng,25.4,5.1,Normal,Tidak Normal
Pagi,Bandeng,25.5,6.5,Normal,Tidak Normal
Pagi,Bandeng,25.6,5.2,Normal,Tidak Normal
Pagi,Bandeng,25.8,6.5,Normal,Tidak Normal
Pagi,Bandeng,26.0,9.1,Normal,Tidak Normal
Pagi,Bandeng,26.4,6.5,Normal,Tidak Normal
Pagi,Bandeng,26.6,8.8,Normal,Tidak Normal
Pagi,Bandeng,26.15,6.7,Normal,Tidak Normal
Pagi,Bandeng,25.46,6.8,Normal,Tidak Normal
Pagi,Vaname,27.0,7.3,Normal,Normal
Pagi,Vaname,27.0,7.8,Normal,Normal
Pagi,Vaname,27.1,8.0,Normal,Normal
Pagi,Vaname,27.2,7.8,Normal,Normal
Pagi,Vaname,27.3,7.5,Normal,Normal
Pagi,Vaname,27.4,7.1,Normal,Normal
Pagi,Vaname,27.6,7.8,Normal,Normal
Pagi,Vaname,27.7,7.5,Normal,Normal
Pagi,Vaname,27.8,7.2,Normal,Normal
Pagi,Vaname,28.0,8.0,Normal,Normal
Pagi,Vaname,28.0,7.2,Normal,Normal
Pagi,Vaname,28.1,7.1,Normal,Normal
Pagi,Vaname,28.1,7.3,Normal,Normal
Pagi,Vaname,28.2,7.3,Normal,Normal
Pagi,Vaname,28.3,7.6,Normal,Normal
Pagi,Vaname,28.3,7.9,Normal,Normal
Pagi,Vaname,28.3,7.4,Normal,Normal
Pagi,Vaname,28.4,8.1,Normal,Normal
Pagi,Vaname,28.4,7.5,Normal,Normal
Pagi,Vaname,28.5,7.4,Normal,Normal
Pagi,Vaname,28.5,7.6,Normal,Normal
Pagi,Vaname,28.5,7.2,Normal,Normal
Pagi,Vaname,28.6,7.4,Normal,Normal
Pagi,Vaname,28.6875,7.28,Normal,Normal
Pagi,Vaname,28.6875,7.3,Normal,Normal
Pagi,Vaname,28.6875,7.31,Normal,Normal
Pagi,Vaname,28.75,7.3,Normal,Normal
Pagi,Vaname,28.75,7.31,Normal,Normal
Pagi,Vaname,28.75,7.28,Normal,Normal
Pagi,Vaname,28.8,7.7,Normal,Normal
Pagi,Vaname,28.8,7.9,Normal,Normal
Pagi,Vaname,28.8125,7.28,Normal,Normal
Pagi,Vaname,28.8125,7.3,Normal,Normal
Pagi,Vaname,28.8125,7.26,Normal,Normal
Pagi,Vaname,28.875,7.28,Normal,Normal
Pagi,Vaname,28.875,7.26,Normal,Normal
Pagi,Vaname,29.1875,6.94,Normal,Normal
Pagi,Vaname,29.2,7.4,Normal,Normal
Pagi,Vaname,29.25,6.89,Normal,Normal
Pagi,Vaname,29.5,7.7,Normal,Normal
Pagi,Vaname,29.6,8.0,Normal,Normal
Pagi,Vaname,29.7,7.7,Normal,Normal
Pagi,Vaname,29.9,7.3,Normal,Normal
Pagi,Vaname,27.33,7.6,Normal,Normal
Pagi,Vaname,27.4,7.3,Normal,Normal
Pagi,Vaname,27.68,7.0,Normal,Normal
Pagi,Vaname,27.88,7.9,Normal,Normal
Pagi,Vaname,28.03,7.1,Normal,Normal
Pagi,Vaname,28.4,7.4,Normal,Normal
Pagi,Vaname,28.73,7.7,Normal,Normal
Pagi,Vaname,29.15,7.2,Normal,Normal
Pagi,Vaname,29.65,7.8,Normal,Normal
Pagi,Vaname,29.7,7.1,Normal,Normal
Pagi,Vaname,29.83,7.5,Normal,Normal
Pagi,Vaname,27.65,7.6,Normal,Normal
Pagi,Vaname,28.89,7.7,Normal,Normal
Pagi,Vaname,29.65,7.8,Normal,Normal
Pagi,Vaname,25.8,9.3,Tidak Normal,Tidak Normal
Pagi,Vaname,26.0,9.7,Tidak Normal,Tidak Normal
Pagi,Vaname,31.0,9.8,Tidak Normal,Tidak Normal
Pagi,Vaname,32.0,9.9,Tidak Normal,Tidak Normal
Pagi,Vaname,32.2,6.0,Tidak Normal,Tidak Normal
Pagi,Vaname,33.0,9.1,Tidak Normal,Tidak Normal
Pagi,Vaname,33.0,6.2,Tidak Normal,Tidak Normal
Pagi,Vaname,33.6,10.0,Tidak Normal,Tidak Normal
Pagi,Vaname,33.8,6.1,Tidak Normal,Tidak Normal
Pagi,Vaname,36.0,6.3,Tidak Normal,Tidak Normal
Pagi,Vaname,24.3,5.9,Tidak Normal,Tidak Normal
Pagi,Vaname,24.8,6.3,Tidak Normal,Tidak Normal
Pagi,Vaname,24.0,9.2,Tidak Normal,Tidak Normal
Pagi,Vaname,24.4,9.6,Tidak Normal,Tidak Normal
Pagi,Vaname,24.8,9.4,Tidak Normal,Tidak Normal
Pagi,Vaname,24.8,6.4,Tidak Normal,Tidak Normal
Pagi,Vaname,25.1,9.0,Tidak Normal,Tidak Normal
Pagi,Vaname,25.6,5.8,Tidak Normal,Tidak Normal
Pagi,Vaname,25.9,6.4,Tidak Normal,Tidak Normal
Pagi,Vaname,25.0,9.5,Tidak Normal,Tidak Normal
Pagi,Vaname,25.0,6.5,Tidak Normal,Tidak Normal
Pagi,Vaname,26.0,5.7,Tidak Normal,Tidak Normal
Pagi,Vaname,26.9,6.5,Tidak Normal,Tidak Normal
Pagi,Vaname,31.4,5.6,Tidak Normal,Tidak Normal
Pagi,Vaname,31.7,6.2,Tidak Normal,Tidak Normal
Pagi,Vaname,32.5,5.5,Tidak Normal,Tidak Normal
Pagi,Vaname,32.7,6.1,Tidak Normal,Tidak Normal
Pagi,Vaname,33.7,6.0,Tidak Normal,Tidak Normal
Pagi,Vaname,31.0,9.0,Normal,Tidak Normal
Pagi,Vaname,31.0,9.4,Normal,Tidak Normal
Pagi,Vaname,31.1,10.0,Normal,Tidak Normal
Pagi,Vaname,31.8,9.1,Normal,Tidak Normal
Pagi,Vaname,32.0,9.5,Normal,Tidak Normal
Pagi,Vaname,32.5,9.2,Normal,Tidak Normal
Pagi,Vaname,32.9,5.9,Normal,Tidak Normal
Pagi,Vaname,33.5,6.8,Normal,Tidak Normal
Pagi,Vaname,33.6,9.6,Normal,Tidak Normal
Pagi,Vaname,33.6,5.8,Normal,Tidak Normal
Pagi,Vaname,25.73,9.2,Normal,Tidak Normal
Pagi,Vaname,24.1,5.7,Normal,Tidak Normal
Pagi,Vaname,24.4,9.1,Normal,Tidak Normal
Pagi,Vaname,24.5,6.9,Normal,Tidak Normal
Pagi,Vaname,24.8,9.7,Normal,Tidak Normal
Pagi,Vaname,25.0,9.2,Normal,Tidak Normal
Pagi,Vaname,25.0,6.0,Normal,Tidak Normal
Pagi,Vaname,25.0,5.0,Normal,Tidak Normal
Pagi,Vaname,25.7,5.6,Normal,Tidak Normal
Pagi,Vaname,25.7,6.4,Normal,Tidak Normal
Pagi,Vaname,25.8,5.3,Normal,Tidak Normal
Pagi,Vaname,25.9,9.8,Normal,Tidak Normal
Pagi,Vaname,25.9,5.9,Normal,Tidak Normal
Pagi,Vaname,25.9,6.3,Normal,Tidak Normal
Pagi,Vaname,26.2,9.9,Normal,Tidak Normal
Pagi,Vaname,26.3,5.5,Normal,Tidak Normal
Pagi,Vaname,26.6,9.3,Normal,Tidak Normal
Pagi,Vaname,31.48,9.4,Normal,Tidak Normal
Pagi,Windu,27.0,6.6,Normal,Normal
Pagi,Windu,27.0,7.2,Normal,Normal
Pagi,Windu,27.0,6.7,Normal,Normal
Pagi,Windu,27.0,7.0,Normal,Normal
Pagi,Windu,27.2,7.6,Normal,Normal
Pagi,Windu,27.5,7.8,Normal,Normal
Pagi,Windu,27.7,8.0,Normal,Normal
Pagi,Windu,27.8,6.9,Normal,Normal
Pagi,Windu,27.8,7.9,Normal,Normal
Pagi,Windu,27.8,7.3,Normal,Normal
Pagi,Windu,27.8,7.4,Normal,Normal
Pagi,Windu,27.9,7.6,Normal,Normal
Pagi,Windu,27.9,7.3,Normal,Normal
Pagi,Windu,28.0,8.0,Normal,Normal
Pagi,Windu,28.0,7.3,Normal,Normal
Pagi,Windu,28.0,7.5,Normal,Normal
Pagi,Windu,28.1,7.1,Normal,Normal
Pagi,Windu,28.2,7.9,Normal,Normal
Pagi,Windu,28.2,6.8,Normal,Normal
Pagi,Windu,28.4,6.7,Normal,Normal
Pagi,Windu,28.4,7.0,Normal,Normal
Pagi,Windu,28.4,7.7,Normal,Normal
Pagi,Windu,28.6,7.1,Normal,Normal
Pagi,Windu,28.8,8.0,Normal,Normal
Pagi,Windu,29.0,6.8,Normal,Normal
Pagi,Windu,29.0,7.5,Normal,Normal
Pagi,Windu,29.125,6.87,Normal,Normal
Pagi,Windu,29.125,6.89,Normal,Normal
Pagi,Windu,29.125,6.86,Normal,Normal
Pagi,Windu,29.125,6.91,Normal,Normal
Pagi,Windu,29.125,6.94,Normal,Normal
Pagi,Windu,29.125,6.92,Normal,Normal
Pagi,Windu,29.125,6.96,Normal,Normal
Pagi,Windu,29.1875,6.86,Normal,Normal
Pagi,Windu,29.1875,6.89,Normal,Normal
Pagi,Windu,29.1875,6.91,Normal,Normal
Pagi,Windu,29.1875,6.92,Normal,Normal
Pagi,Windu,29.1875,6.87,Normal,Normal
Pagi,Windu,29.2,7.1,Normal,Normal
Pagi,Windu,29.2,7.2,Normal,Normal
Pagi,Windu,29.6,7.8,Normal,Normal
Pagi,Windu,29.6,6.6,Normal,Normal
Pagi,Windu,29.8,6.9,Normal,Normal
Pagi,Windu,27.6,7.4,Normal,Normal
Pagi,Windu,28.0,7.0,Normal,Normal
Pagi,Windu,28.5,7.6,Normal,Normal
Pagi,Windu,28.5,8.0,Normal,Normal
Pagi,Windu,28.7,7.9,Normal,Normal
Pagi,Windu,28.8,7.7,Normal,Normal
Pagi,Windu,28.8,6.9,Normal,Normal
Pagi,Windu,28.9,7.8,Normal,Normal
Pagi,Windu,29.0,6.8,Normal,Normal
Pagi,Windu,29.4,7.8,Normal,Normal
Pagi,Windu,29.4,7.9,Normal,Normal
Pagi,Windu,28.35,8.0,Normal,Normal
Pagi,Windu,30.77,7.9,Normal,Normal
Pagi,Windu,29.84,7.8,Normal,Normal
Pagi,Windu,22.9,9.9,Tidak Normal,Tidak Normal
Pagi,Windu,24.0,6.0,Tidak Normal,Tidak Normal
Pagi,Windu,24.5,9.7,Tidak Normal,Tidak Normal
Pagi,Windu,25.0,5.5,Tidak Normal,Tidak Normal
Pagi,Windu,25.7,5.4,Tidak Normal,Tidak Normal
Pagi,Windu,25.8,5.8,Tidak Normal,Tidak Normal
Pagi,Windu,25.8,6.2,Tidak Normal,Tidak Normal
Pagi,Windu,25.9,5.5,Tidak Normal,Tidak Normal
Pagi,Windu,26.0,9.5,Tidak Normal,Tidak Normal
Pagi,Windu,26.8,9.4,Tidak Normal,Tidak Normal
Pagi,Windu,26.9,9.3,Tidak Normal,Tidak Normal
Pagi,Windu,26.9,9.6,Tidak Normal,Tidak Normal
Pagi,Windu,31.2,10.0,Tidak Normal,Tidak Normal
Pagi,Windu,33.2,5.6,Tidak Normal,Tidak Normal
Pagi,Windu,33.6,9.8,Tidak Normal,Tidak Normal
Pagi,Windu,24.01,9.2,Tidak Normal,Tidak Normal
Pagi,Windu,24.94,6.3,Tidak Normal,Tidak Normal
Pagi,Windu,25.23,5.6,Tidak Normal,Tidak Normal
Pagi,Windu,25.32,6.2,Tidak Normal,Tidak Normal
Pagi,Windu,25.47,9.1,Tidak Normal,Tidak Normal
Pagi,Windu,25.49,6.1,Tidak Normal,Tidak Normal
Pagi,Windu,25.58,6.4,Tidak Normal,Tidak Normal
Pagi,Windu,25.9,6.5,Tidak Normal,Tidak Normal
Pagi,Windu,26.72,5.7,Tidak Normal,Tidak Normal
Pagi,Windu,31.93,5.8,Tidak Normal,Tidak Normal
Pagi,Windu,32.75,5.9,Tidak Normal,Tidak Normal
Pagi,Windu,33.07,6.0,Tidak Normal,Tidak Normal
Pagi,Windu,25.5,8.7,Tidak Normal,Tidak Normal
Pagi,Windu,31.0,6.2,Normal,Tidak Normal
Pagi,Windu,31.3,5.8,Normal,Tidak Normal
Pagi,Windu,31.6,9.6,Normal,Tidak Normal
Pagi,Windu,32.4,5.7,Normal,Tidak Normal
Pagi,Windu,32.7,6.3,Normal,Tidak Normal
Pagi,Windu,33.7,6.4,Normal,Tidak Normal
Pagi,Windu,24.8,5.7,Normal,Tidak Normal
Pagi,Windu,24.9,6.3,Normal,Tidak Normal
Pagi,Windu,25.5,5.8,Normal,Tidak Normal
Pagi,Windu,26.4,5.9,Normal,Tidak Normal
Pagi,Windu,31.2,6.0,Normal,Tidak Normal
Pagi,Windu,31.8,9.9,Normal,Tidak Normal
Pagi,Windu,32.0,9.7,Normal,Tidak Normal
Pagi,Windu,32.4,10.0,Normal,Tidak Normal
Pagi,Windu,32.4,6.1,Normal,Tidak Normal
Pagi,Windu,33.0,9.8,Normal,Tidak Normal
Pagi,Windu,33.0,6.2,Normal,Tidak Normal
Pagi,Windu,33.5,5.6,Normal,Tidak Normal
Pagi,Windu,24.0,5.9,Normal,Tidak Normal
Pagi,Windu,24.3,6.5,Normal,Tidak Normal
Pagi,Windu,24.5,9.5,Normal,Tidak Normal
Pagi,Windu,25.3,6.0,Normal,Tidak Normal
Pagi,Windu,25.3,9.4,Normal,Tidak Normal
Pagi,Windu,25.4,6.4,Normal,Tidak Normal
Pagi,Windu,25.7,9.1,Normal,Tidak Normal
Pagi,Windu,26.3,6.1,Normal,Tidak Normal
Pagi,Windu,26.8,9.3,Normal,Tidak Normal
Pagi,Windu,26.9,9.2,Normal,Tidak Normal
Siang,Bandeng,29.875,7.18,Normal,Normal
Siang,Bandeng,29.875,7.17,Normal,Normal
Siang,Bandeng,29.875,7.2,Normal,Normal
Siang,Bandeng,29.875,7.23,Normal,Normal
Siang,Bandeng,29.9375,7.18,Normal,Normal
Siang,Bandeng,29.9375,7.17,Normal,Normal
Siang,Bandeng,29.9375,7.2,Normal,Normal
Siang,Bandeng,29.9375,7.22,Normal,Normal
Siang,Bandeng,29.9375,7.23,Normal,Normal
Siang,Bandeng,30.0,7.17,Normal,Normal
Siang,Bandeng,30.0,7.18,Normal,Normal
Siang,Bandeng,30.0,7.15,Normal,Normal
Siang,Bandeng,30.0,7.22,Normal,Normal
Siang,Bandeng,30.0,7.23,Normal,Normal
Siang,Bandeng,30.0,7.2,Normal,Normal
Siang,Bandeng,30.0625,7.18,Normal,Normal
Siang,Bandeng,30.0625,7.17,Normal,Normal
Siang,Bandeng,30.0625,7.2,Normal,Normal
Siang,Bandeng,30.0625,7.15,Normal,Normal
Siang,Bandeng,30.125,7.18,Normal,Normal
Siang,Bandeng,30.125,7.17,Normal,Normal
Siang,Bandeng,30.25,7.17,Normal,Normal
Siang,Bandeng,28.6,7.5,Normal,Normal
Siang,Bandeng,29.0,7.6,Normal,Normal
Siang,Bandeng,31.2,7.7,Normal,Normal
Siang,Bandeng,30.9,7.8,Normal,Normal
Siang,Bandeng,28.6,7.9,Normal,Normal
Siang,Bandeng,29.5,8.0,Normal,Normal
Siang,Bandeng,30.8,8.1,Normal,Normal
Siang,Bandeng,31.1,8.2,Normal,Normal
Siang,Bandeng,31.3,8.3,Normal,Normal
Siang,Bandeng,30.9,8.4,Normal,Normal
Siang,Bandeng,29.9,8.5,Normal,Normal
Siang,Bandeng,28.3,7.5,Normal,Normal
Siang,Bandeng,29.0,7.6,Normal,Normal
Siang,Bandeng,30.0,7.7,Normal,Normal
Siang,Bandeng,28.8,7.8,Normal,Normal
Siang,Bandeng,31.2,7.9,Normal,Normal
Siang,Bandeng,30.0,8.0,Normal,Normal
Siang,Bandeng,31.4,8.1,Normal,Normal
Siang,Bandeng,29.0,8.2,Normal,Normal
Siang,Bandeng,28.6,8.3,Normal,Normal
Siang,Bandeng,31.0,8.4,Normal,Normal
Siang,Bandeng,29.0,8.5,Normal,Normal
Siang,Bandeng,28.6,7.5,Normal,Normal
Siang,Bandeng,28.8,7.6,Normal,Normal
Siang,Bandeng,29.3,7.7,Normal,Normal
Siang,Bandeng,30.4,7.8,Normal,Normal
Siang,Bandeng,31.3,7.9,Normal,Normal
Siang,Bandeng,29.7,8.0,Normal,Normal
Siang,Bandeng,30.4,8.1,Normal,Normal
Siang,Bandeng,28.5,8.2,Normal,Normal
Siang,Bandeng,29.8,8.3,Normal,Normal
Siang,Bandeng,30.0,8.4,Normal,Normal
Siang,Bandeng,31.2,8.5,Normal,Normal
Siang,Bandeng,31.2,7.0,Normal,Normal
Siang,Bandeng,29.05,7.5,Normal,Normal
Siang,Bandeng,32.5,6.9,Tidak Normal,Tidak Normal
Siang,Bandeng,33.2,6.8,Tidak Normal,Tidak Normal
Siang,Bandeng,26.6,6.7,Tidak Normal,Tidak Normal
Siang,Bandeng,25.1,6.6,Tidak Normal,Tidak Normal
Siang,Bandeng,32.3,6.5,Tidak Normal,Tidak Normal
Siang,Bandeng,33.3,6.4,Tidak Normal,Tidak Normal
Siang,Bandeng,26.8,6.3,Tidak Normal,Tidak Normal
Siang,Bandeng,25.0,6.2,Tidak Normal,Tidak Normal
Siang,Bandeng,32.7,6.1,Tidak Normal,Tidak Normal
Siang,Bandeng,33.7,6.0,Tidak Normal,Tidak Normal
Siang,Bandeng,26.9,8.6,Tidak Normal,Tidak Normal
Siang,Bandeng,25.2,8.7,Tidak Normal,Tidak Normal
Siang,Bandeng,32.9,8.8,Tidak Normal,Tidak Normal
Siang,Bandeng,33.9,8.9,Tidak Normal,Tidak Normal
Siang,Bandeng,32.0,9.0,Tidak Normal,Tidak Normal
Siang,Bandeng,33.8,9.1,Tidak Normal,Tidak Normal
Siang,Bandeng,32.0,9.2,Tidak Normal,Tidak Normal
Siang,Bandeng,33.8,9.3,Tidak Normal,Tidak Normal
Siang,Bandeng,26.8,9.4,Tidak Normal,Tidak Normal
Siang,Bandeng,25.25,9.5,Tidak Normal,Tidak Normal
Siang,Bandeng,32.5,6.9,Tidak Normal,Tidak Normal
Siang,Bandeng,33.25,6.8,Tidak Normal,Tidak Normal
Siang,Bandeng,32.75,6.7,Tidak Normal,Tidak Normal
Siang,Bandeng,33.75,6.6,Tidak Normal,Tidak Normal
Siang,Bandeng,33.58,6.5,Tidak Normal,Tidak Normal
Siang,Bandeng,32.03,6.4,Tidak Normal,Tidak Normal
Siang,Bandeng,27.5,6.3,Tidak Normal,Tidak Normal
Siang,Bandeng,26.98,6.2,Tidak Normal,Tidak Normal
Siang,Bandeng,25.8,6.1,Normal,Tidak Normal
Siang,Bandeng,32.05,6.0,Normal,Tidak Normal
Siang,Bandeng,33.23,8.6,Normal,Tidak Normal
Siang,Bandeng,32.1,8.7,Normal,Tidak Normal
Siang,Bandeng,33.8,8.8,Normal,Tidak Normal
Siang,Bandeng,32.7,8.9,Normal,Tidak Normal
Siang,Bandeng,33.6,9.0,Normal,Tidak Normal
Siang,Bandeng,26.6,9.1,Normal,Tidak Normal
Siang,Bandeng,25.5,9.2,Normal,Tidak Normal
Siang,Bandeng,32.0,9.3,Normal,Tidak Normal
Siang,Bandeng,33.7,9.4,Normal,Tidak Normal
Siang,Bandeng,32.0,9.5,Normal,Tidak Normal
Siang,Bandeng,33.0,6.9,Normal,Tidak Normal
Siang,Bandeng,26.1,6.8,Normal,Tidak Normal
Siang,Bandeng,25.7,6.7,Normal,Tidak Normal
Siang,Bandeng,32.3,6.6,Normal,Tidak Normal
Siang,Bandeng,33.0,6.5,Normal,Tidak Normal
Siang,Bandeng,32.1,6.4,Normal,Tidak Normal
Siang,Bandeng,33.3,6.3,Normal,Tidak Normal
Siang,Bandeng,26.4,6.2,Normal,Tidak Normal
Siang,Bandeng,25.7,6.1,Normal,Tidak Normal
Siang,Bandeng,32.1,6.0,Normal,Tidak Normal
Siang,Bandeng,33.8,8.6,Normal,Tidak Normal
Siang,Bandeng,26.1,8.7,Normal,Tidak Normal
Siang,Bandeng,25.0,8.8,Normal,Tidak Normal
Siang,Bandeng,26.6,8.9,Normal,Tidak Normal
Siang,Bandeng,25.2,9.0,Normal,Tidak Normal
Siang,Bandeng,25.46,6.8,Normal,Tidak Normal
Siang,Vaname,30.125,7.23,Normal,Normal
Siang,Vaname,30.125,7.22,Normal,Normal
Siang,Vaname,30.1875,6.89,Normal,Normal
Siang,Vaname,30.1875,6.91,Normal,Normal
Siang,Vaname,30.1875,6.92,Normal,Normal
Siang,Vaname,30.1875,6.87,Normal,Normal
Siang,Vaname,30.1875,7.18,Normal,Normal
Siang,Vaname,30.1875,7.17,Normal,Normal
Siang,Vaname,30.25,6.89,Normal,Normal
Siang,Vaname,30.25,6.91,Normal,Normal
Siang,Vaname,30.25,6.92,Normal,Normal
Siang,Vaname,30.25,7.23,Normal,Normal
Siang,Vaname,30.3125,6.91,Normal,Normal
Siang,Vaname,30.3125,6.89,Normal,Normal
Siang,Vaname,30.3125,6.92,Normal,Normal
Siang,Vaname,30.375,6.91,Normal,Normal
Siang,Vaname,30.375,6.89,Normal,Normal
Siang,Vaname,30.375,6.92,Normal,Normal
Siang,Vaname,30.4375,6.89,Normal,Normal
Siang,Vaname,30.4375,6.91,Normal,Normal
Siang,Vaname,30.4375,6.92,Normal,Normal
Siang,Vaname,30.5,6.91,Normal,Normal
Siang,Vaname,28.9,7.0,Normal,Normal
Siang,Vaname,29.9,7.1,Normal,Normal
Siang,Vaname,30.8,7.2,Normal,Normal
Siang,Vaname,31.7,7.3,Normal,Normal
Siang,Vaname,28.7,7.4,Normal,Normal
Siang,Vaname,29.7,7.5,Normal,Normal
Siang,Vaname,30.3,7.6,Normal,Normal
Siang,Vaname,31.6,7.7,Normal,Normal
Siang,Vaname,28.0,7.8,Normal,Normal
Siang,Vaname,29.4,7.9,Normal,Normal
